date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:16:16	40815/40815	---M--	200	added ('OK')	application/octet-stream	etag:%220e2e1a11557153800c5771c9338832b0%22	https://s3-eu-west-1.amazonaws.com/static.playcanvas.com/fonts/proxima_nova_light.woff2	C:/My%20Web%20Sites/swooop/s3-eu-west-1.amazonaws.com/static.playcanvas.com/fonts/proxima_nova_light.woff2	(from https://playcanvas.com/static/platform/css/styles.css)
19:16:17	54986/54986	---M--	200	added ('OK')	application/octet-stream	etag:%22765009d5473ab9c6705be3ea41e39eb8%22	https://s3-eu-west-1.amazonaws.com/static.playcanvas.com/fonts/proxima_nova_light.woff	C:/My%20Web%20Sites/swooop/s3-eu-west-1.amazonaws.com/static.playcanvas.com/fonts/proxima_nova_light.woff	(from https://playcanvas.com/static/platform/css/styles.css)
19:16:18	39040/39040	---M--	200	added ('OK')	application/octet-stream	etag:%22497419e2d2881df67058d3642fdbc46c%22	https://s3-eu-west-1.amazonaws.com/static.playcanvas.com/fonts/proxima_nova_bold.eot	C:/My%20Web%20Sites/swooop/s3-eu-west-1.amazonaws.com/static.playcanvas.com/fonts/proxima_nova_bold.eot	(from https://playcanvas.com/static/platform/css/styles.css)
19:16:18	107956/107956	---M--	200	added ('OK')	application/octet-stream	etag:%22f06d52d2c2463481c13399e17bd4bb0c%22	https://s3-eu-west-1.amazonaws.com/static.playcanvas.com/fonts/proxima_nova_light.ttf	C:/My%20Web%20Sites/swooop/s3-eu-west-1.amazonaws.com/static.playcanvas.com/fonts/proxima_nova_light.ttf	(from https://playcanvas.com/static/platform/css/styles.css)
19:16:20	40708/40708	---M--	200	added ('OK')	application/octet-stream	etag:%226e4a2111ce62ab201b9fb19bd3248d32%22	https://s3-eu-west-1.amazonaws.com/static.playcanvas.com/fonts/proxima_nova_bold.woff2	C:/My%20Web%20Sites/swooop/s3-eu-west-1.amazonaws.com/static.playcanvas.com/fonts/proxima_nova_bold.woff2	(from https://playcanvas.com/static/platform/css/styles.css)
19:16:20	39040/39040	---M--	200	added ('OK')	application/octet-stream	etag:%22497419e2d2881df67058d3642fdbc46c%22	https://s3-eu-west-1.amazonaws.com/static.playcanvas.com/fonts/proxima_nova_bold.eot?	C:/My%20Web%20Sites/swooop/s3-eu-west-1.amazonaws.com/static.playcanvas.com/fonts/proxima_nova_boldd41d.eot	(from https://playcanvas.com/static/platform/css/styles.css)
19:16:20	54778/54778	---M--	200	added ('OK')	application/octet-stream	etag:%22b544809b1a98cdb522f96fa51aee62fe%22	https://s3-eu-west-1.amazonaws.com/static.playcanvas.com/fonts/proxima_nova_bold.woff	C:/My%20Web%20Sites/swooop/s3-eu-west-1.amazonaws.com/static.playcanvas.com/fonts/proxima_nova_bold.woff	(from https://playcanvas.com/static/platform/css/styles.css)
19:16:21	106400/106400	---M--	200	added ('OK')	application/octet-stream	etag:%220f7a38658faaba1e03d030e395f8ca3e%22	https://s3-eu-west-1.amazonaws.com/static.playcanvas.com/fonts/proxima_nova_bold.ttf	C:/My%20Web%20Sites/swooop/s3-eu-west-1.amazonaws.com/static.playcanvas.com/fonts/proxima_nova_bold.ttf	(from https://playcanvas.com/static/platform/css/styles.css)
19:16:22	37904/37904	---M--	200	added ('OK')	application/octet-stream	etag:%22ec8657412ef254dab00c15fbd47a1583%22	https://s3-eu-west-1.amazonaws.com/static.playcanvas.com/fonts/proxima_nova_thin_t.eot	C:/My%20Web%20Sites/swooop/s3-eu-west-1.amazonaws.com/static.playcanvas.com/fonts/proxima_nova_thin_t.eot	(from https://playcanvas.com/static/platform/css/styles.css)
19:16:23	37904/37904	---M--	200	added ('OK')	application/octet-stream	etag:%22ec8657412ef254dab00c15fbd47a1583%22	https://s3-eu-west-1.amazonaws.com/static.playcanvas.com/fonts/proxima_nova_thin_t.eot?	C:/My%20Web%20Sites/swooop/s3-eu-west-1.amazonaws.com/static.playcanvas.com/fonts/proxima_nova_thin_td41d.eot	(from https://playcanvas.com/static/platform/css/styles.css)
19:16:23	39464/39464	---M--	200	added ('OK')	application/octet-stream	etag:%22d9cc4f7066543513d4d71e60141792a8%22	https://s3-eu-west-1.amazonaws.com/static.playcanvas.com/fonts/proxima_nova_thin_t.woff2	C:/My%20Web%20Sites/swooop/s3-eu-west-1.amazonaws.com/static.playcanvas.com/fonts/proxima_nova_thin_t.woff2	(from https://playcanvas.com/static/platform/css/styles.css)
19:16:24	53650/53650	---M--	200	added ('OK')	application/octet-stream	etag:%22593126fb149d3a6f8a1018d9938324f5%22	https://s3-eu-west-1.amazonaws.com/static.playcanvas.com/fonts/proxima_nova_thin_t.woff	C:/My%20Web%20Sites/swooop/s3-eu-west-1.amazonaws.com/static.playcanvas.com/fonts/proxima_nova_thin_t.woff	(from https://playcanvas.com/static/platform/css/styles.css)
19:16:26	107912/107912	---M--	200	added ('OK')	application/octet-stream	etag:%22257abc95e7c20c6636391e221eacfbb0%22	https://s3-eu-west-1.amazonaws.com/static.playcanvas.com/fonts/proxima_nova_thin_t.ttf	C:/My%20Web%20Sites/swooop/s3-eu-west-1.amazonaws.com/static.playcanvas.com/fonts/proxima_nova_thin_t.ttf	(from https://playcanvas.com/static/platform/css/styles.css)
19:16:27	131066/131066	---M--	200	added ('OK')	application/octet-stream	etag:%220eb722955b55dd33d33d577877efbe19%22	https://s3-eu-west-1.amazonaws.com/static.playcanvas.com/fonts/uifont-solid.eot	C:/My%20Web%20Sites/swooop/s3-eu-west-1.amazonaws.com/static.playcanvas.com/fonts/uifont-solid.eot	(from https://playcanvas.com/static/platform/css/styles.css)
19:16:27	131066/131066	---M--	200	added ('OK')	application/octet-stream	etag:%220eb722955b55dd33d33d577877efbe19%22	https://s3-eu-west-1.amazonaws.com/static.playcanvas.com/fonts/uifont-solid.eot?	C:/My%20Web%20Sites/swooop/s3-eu-west-1.amazonaws.com/static.playcanvas.com/fonts/uifont-solidd41d.eot	(from https://playcanvas.com/static/platform/css/styles.css)
19:16:28	130784/130784	---M--	200	added ('OK')	application/octet-stream	etag:%221faed76468877219c08b98a1b6eae476%22	https://s3-eu-west-1.amazonaws.com/static.playcanvas.com/fonts/uifont-solid.ttf	C:/My%20Web%20Sites/swooop/s3-eu-west-1.amazonaws.com/static.playcanvas.com/fonts/uifont-solid.ttf	(from https://playcanvas.com/static/platform/css/styles.css)
19:16:28	206719/206719	---M--	200	added ('OK')	image/svg+xml	etag:%227b44f328bed351fa45edf0e071abd1f3%22	https://s3-eu-west-1.amazonaws.com/static.playcanvas.com/fonts/uifont-solid.svg	C:/My%20Web%20Sites/swooop/s3-eu-west-1.amazonaws.com/static.playcanvas.com/fonts/uifont-solid.svg	(from https://playcanvas.com/static/platform/css/styles.css)
19:16:29	2395/2395	---M--	200	added ('OK')	image/png	etag:%221413281045.33-2395%22	https://playcanvas.com/images/common/HOME_CHEVRON.png	C:/My%20Web%20Sites/swooop/playcanvas.com/images/common/HOME_CHEVRON.png	(from https://playcanvas.com/static/platform/css/styles.css)
19:16:31	12433/12433	---M--	200	added ('OK')	image/gif	etag:%221fc4b8b1fa40df8fe0c1b668bf27078f%22	http://s3-eu-west-1.amazonaws.com/static.playcanvas.com/platform/images/loader.gif	C:/My%20Web%20Sites/swooop/s3-eu-west-1.amazonaws.com/static.playcanvas.com/platform/images/loader.gif	(from https://playcanvas.com/static/platform/css/styles.css)
